지역명,연도,월,전용면적,평당분양가격
강원,2016.0,1.0,85㎡~102㎡,6801.299999999999
강원,2016.0,1.0,102㎡~,7164.299999999999
충북,2016.0,1.0,모든면적,6626.4
충북,2016.0,1.0,60㎡,6441.599999999999
충북,2016.0,1.0,60㎡~85㎡,6669.299999999999
충북,2016.0,1.0,85㎡~102㎡,7510.799999999999
충북,2016.0,1.0,102㎡~,7461.299999999999
충남,2016.0,1.0,모든면적,7491.0
충남,2016.0,1.0,60㎡,8187.299999999999
충남,2016.0,1.0,60㎡~85㎡,7527.299999999999
충남,2016.0,1.0,85㎡~102㎡,8385.3
충남,2016.0,1.0,102㎡~,8065.2
전북,2016.0,1.0,모든면적,6534.0
전북,2016.0,1.0,60㎡,6296.4
전북,2016.0,1.0,60㎡~85㎡,6557.099999999999
전북,2016.0,1.0,85㎡~102㎡,7844.099999999999
전북,2016.0,1.0,102㎡~,7530.599999999999
전남,2016.0,1.0,모든면적,6299.7
전남,2016.0,1.0,60㎡,6596.7
전남,2016.0,1.0,60㎡~85㎡,6289.799999999999
전남,2016.0,1.0,85㎡~102㎡,7464.599999999999
전남,2016.0,1.0,102㎡~,7180.799999999999
경북,2016.0,1.0,모든면적,7197.299999999999
경북,2016.0,1.0,60㎡,7187.4
경북,2016.0,1.0,60㎡~85㎡,7210.5
경북,2016.0,1.0,85㎡~102㎡,8302.8
경북,2016.0,1.0,102㎡~,7741.799999999999
경남,2016.0,1.0,모든면적,7679.099999999999
경남,2016.0,1.0,60㎡,7491.0
경남,2016.0,1.0,60㎡~85㎡,7748.4
경남,2016.0,1.0,85㎡~102㎡,9652.5
경남,2016.0,1.0,102㎡~,9332.4
제주,2016.0,1.0,모든면적,7484.4
제주,2016.0,1.0,60㎡~85㎡,7458.0
제주,2016.0,1.0,85㎡~102㎡,8523.9
제주,2016.0,1.0,102㎡~,8494.199999999999
서울,2016.0,2.0,모든면적,20166.3
서울,2016.0,2.0,60㎡,21245.399999999998
서울,2016.0,2.0,60㎡~85㎡,19928.7
서울,2016.0,2.0,85㎡~102㎡,21492.899999999998
서울,2016.0,2.0,102㎡~,21311.399999999998
인천,2016.0,2.0,모든면적,10533.599999999999
인천,2016.0,2.0,60㎡,10982.4
인천,2016.0,2.0,60㎡~85㎡,10269.599999999999
인천,2016.0,2.0,85㎡~102㎡,11698.5
인천,2016.0,2.0,102㎡~,11246.4
경기,2016.0,2.0,모든면적,10622.699999999999
경기,2016.0,2.0,60㎡,10870.199999999999
경기,2016.0,2.0,60㎡~85㎡,10784.4
경기,2016.0,2.0,85㎡~102㎡,11157.3
경기,2016.0,2.0,102㎡~,12107.699999999999
부산,2016.0,2.0,모든면적,10408.199999999999
부산,2016.0,2.0,60㎡,9896.699999999999
부산,2016.0,2.0,60㎡~85㎡,10098.0
부산,2016.0,2.0,85㎡~102㎡,9758.1
부산,2016.0,2.0,102㎡~,12579.599999999999
대구,2016.0,2.0,모든면적,10111.199999999999
대구,2016.0,2.0,60㎡,11025.3
대구,2016.0,2.0,60㎡~85㎡,10160.699999999999
대구,2016.0,2.0,85㎡~102㎡,8355.6
대구,2016.0,2.0,102㎡~,9051.9
광주,2016.0,2.0,모든면적,8477.699999999999
광주,2016.0,2.0,60㎡,7903.5
광주,2016.0,2.0,60㎡~85㎡,8520.6
대전,2016.0,2.0,모든면적,8098.2
대전,2016.0,2.0,60㎡,8530.5
대전,2016.0,2.0,60㎡~85㎡,8012.4
대전,2016.0,2.0,85㎡~102㎡,8121.299999999999
울산,2016.0,2.0,모든면적,10051.8
울산,2016.0,2.0,60㎡,8527.199999999999
울산,2016.0,2.0,60㎡~85㎡,10074.9
울산,2016.0,2.0,85㎡~102㎡,8787.9
울산,2016.0,2.0,102㎡~,9484.199999999999
세종,2016.0,2.0,모든면적,8794.5
세종,2016.0,2.0,60㎡,8583.3
세종,2016.0,2.0,60㎡~85㎡,8830.8
세종,2016.0,2.0,85㎡~102㎡,8781.3
세종,2016.0,2.0,102㎡~,9081.6
강원,2016.0,2.0,모든면적,7170.9
강원,2016.0,2.0,60㎡,7557.0
강원,2016.0,2.0,60㎡~85㎡,7260.0
강원,2016.0,2.0,102㎡~,7755.0
충북,2016.0,2.0,모든면적,6626.4
충북,2016.0,2.0,60㎡,6441.599999999999
충북,2016.0,2.0,60㎡~85㎡,6669.299999999999
충북,2016.0,2.0,85㎡~102㎡,7510.799999999999
충북,2016.0,2.0,102㎡~,7461.299999999999
충남,2016.0,2.0,모든면적,7497.599999999999
충남,2016.0,2.0,60㎡,8236.8
충남,2016.0,2.0,60㎡~85㎡,7530.599999999999
충남,2016.0,2.0,85㎡~102㎡,8385.3
충남,2016.0,2.0,102㎡~,8065.2
전북,2016.0,2.0,모든면적,6534.0
전북,2016.0,2.0,60㎡,6296.4
전북,2016.0,2.0,60㎡~85㎡,6557.099999999999
전북,2016.0,2.0,85㎡~102㎡,7844.099999999999
전북,2016.0,2.0,102㎡~,7533.9
전남,2016.0,2.0,모든면적,6345.9
전남,2016.0,2.0,60㎡,6596.7
전남,2016.0,2.0,60㎡~85㎡,6339.299999999999
전남,2016.0,2.0,85㎡~102㎡,7464.599999999999
전남,2016.0,2.0,102㎡~,7180.799999999999
경북,2016.0,2.0,모든면적,7190.7
경북,2016.0,2.0,60㎡,7167.599999999999
경북,2016.0,2.0,60㎡~85㎡,7230.299999999999
경북,2016.0,2.0,85㎡~102㎡,8355.6
경북,2016.0,2.0,102㎡~,7741.799999999999
경남,2016.0,2.0,모든면적,7781.4
경남,2016.0,2.0,60㎡,7791.299999999999
경남,2016.0,2.0,60㎡~85㎡,7837.5
경남,2016.0,2.0,85㎡~102㎡,9652.5
경남,2016.0,2.0,102㎡~,8820.9
제주,2016.0,2.0,모든면적,7484.4
제주,2016.0,2.0,60㎡~85㎡,7458.0
제주,2016.0,2.0,85㎡~102㎡,8523.9
제주,2016.0,2.0,102㎡~,8494.199999999999
서울,2016.0,3.0,모든면적,20370.899999999998
서울,2016.0,3.0,60㎡,21615.0
서울,2016.0,3.0,60㎡~85㎡,20219.1
서울,2016.0,3.0,85㎡~102㎡,23690.699999999997
서울,2016.0,3.0,102㎡~,21024.3
인천,2016.0,3.0,모든면적,10527.0
인천,2016.0,3.0,60㎡,10965.9
인천,2016.0,3.0,60㎡~85㎡,10266.3
인천,2016.0,3.0,85㎡~102㎡,11698.5
인천,2016.0,3.0,102㎡~,11246.4
경기,2016.0,3.0,모든면적,10609.5
경기,2016.0,3.0,60㎡,11355.3
경기,2016.0,3.0,60㎡~85㎡,10754.699999999999
경기,2016.0,3.0,85㎡~102㎡,11097.9
경기,2016.0,3.0,102㎡~,12144.0
부산,2016.0,3.0,모든면적,10487.4
부산,2016.0,3.0,60㎡,9738.3
부산,2016.0,3.0,60㎡~85㎡,10236.599999999999
부산,2016.0,3.0,85㎡~102㎡,9758.1
부산,2016.0,3.0,102㎡~,12299.099999999999
대구,2016.0,3.0,모든면적,10292.699999999999
대구,2016.0,3.0,60㎡,11025.3
대구,2016.0,3.0,60㎡~85㎡,10408.199999999999
대구,2016.0,3.0,85㎡~102㎡,8378.699999999999
대구,2016.0,3.0,102㎡~,9051.9
광주,2016.0,3.0,모든면적,8547.0
광주,2016.0,3.0,60㎡,8151.0
광주,2016.0,3.0,60㎡~85㎡,8583.3
대전,2016.0,3.0,모든면적,8098.2
대전,2016.0,3.0,60㎡,8530.5
대전,2016.0,3.0,60㎡~85㎡,8012.4
대전,2016.0,3.0,85㎡~102㎡,8121.299999999999
울산,2016.0,3.0,모든면적,10117.8
울산,2016.0,3.0,60㎡,8527.199999999999
울산,2016.0,3.0,60㎡~85㎡,10147.5
울산,2016.0,3.0,85㎡~102㎡,8787.9
울산,2016.0,3.0,102㎡~,10088.1
세종,2016.0,3.0,모든면적,8811.0
세종,2016.0,3.0,60㎡,8583.3
세종,2016.0,3.0,60㎡~85㎡,8847.3
세종,2016.0,3.0,85㎡~102㎡,8811.0
세종,2016.0,3.0,102㎡~,9081.6
강원,2016.0,3.0,모든면적,7240.2
강원,2016.0,3.0,60㎡,7421.7
강원,2016.0,3.0,60㎡~85㎡,7329.299999999999
강원,2016.0,3.0,102㎡~,7755.0
충북,2016.0,3.0,모든면적,6534.0
충북,2016.0,3.0,60㎡,6352.5
충북,2016.0,3.0,60㎡~85㎡,6669.299999999999
충북,2016.0,3.0,85㎡~102㎡,7510.799999999999
충북,2016.0,3.0,102㎡~,7461.299999999999
충남,2016.0,3.0,모든면적,6979.5
충남,2016.0,3.0,60㎡,7345.799999999999
충남,2016.0,3.0,60㎡~85㎡,6976.2
충남,2016.0,3.0,85㎡~102㎡,8385.3
충남,2016.0,3.0,102㎡~,8065.2
전북,2016.0,3.0,모든면적,6438.299999999999
전북,2016.0,3.0,60㎡,6303.0
전북,2016.0,3.0,60㎡~85㎡,6464.7
전북,2016.0,3.0,85㎡~102㎡,7487.7
전북,2016.0,3.0,102㎡~,7566.9
전남,2016.0,3.0,모든면적,6339.299999999999
전남,2016.0,3.0,60㎡,6606.599999999999
전남,2016.0,3.0,60㎡~85㎡,6332.7
전남,2016.0,3.0,85㎡~102㎡,7464.599999999999
전남,2016.0,3.0,102㎡~,7180.799999999999
경북,2016.0,3.0,모든면적,7190.7
경북,2016.0,3.0,60㎡,7170.9
경북,2016.0,3.0,60㎡~85㎡,7230.299999999999
경북,2016.0,3.0,85㎡~102㎡,8827.5
경북,2016.0,3.0,102㎡~,7636.2
경남,2016.0,3.0,모든면적,7863.9
경남,2016.0,3.0,60㎡,7807.799999999999
경남,2016.0,3.0,60㎡~85㎡,7893.599999999999
경남,2016.0,3.0,85㎡~102㎡,10074.9
경남,2016.0,3.0,102㎡~,8728.5
제주,2016.0,3.0,모든면적,7636.2
제주,2016.0,3.0,60㎡~85㎡,7636.2
서울,2016.0,4.0,모든면적,20595.3
서울,2016.0,4.0,60㎡,21839.399999999998
서울,2016.0,4.0,60㎡~85㎡,20446.8
서울,2016.0,4.0,85㎡~102㎡,26716.8
서울,2016.0,4.0,102㎡~,20964.899999999998
인천,2016.0,4.0,모든면적,10685.4
인천,2016.0,4.0,60㎡,10965.9
인천,2016.0,4.0,60㎡~85㎡,10385.099999999999
인천,2016.0,4.0,85㎡~102㎡,11698.5
인천,2016.0,4.0,102㎡~,15968.699999999999
경기,2016.0,4.0,모든면적,10556.699999999999
경기,2016.0,4.0,60㎡,11220.0
경기,2016.0,4.0,60㎡~85㎡,10701.9
경기,2016.0,4.0,85㎡~102㎡,11203.5
경기,2016.0,4.0,102㎡~,11916.3
부산,2016.0,4.0,모든면적,10457.699999999999
부산,2016.0,4.0,60㎡,9810.9
부산,2016.0,4.0,60㎡~85㎡,10187.099999999999
부산,2016.0,4.0,85㎡~102㎡,9669.0
부산,2016.0,4.0,102㎡~,12299.099999999999
대구,2016.0,4.0,모든면적,10335.599999999999
대구,2016.0,4.0,60㎡,11025.3
대구,2016.0,4.0,60㎡~85㎡,10454.4
대구,2016.0,4.0,85㎡~102㎡,8378.699999999999
대구,2016.0,4.0,102㎡~,9051.9
광주,2016.0,4.0,모든면적,8910.0
광주,2016.0,4.0,60㎡,8580.0
광주,2016.0,4.0,60㎡~85㎡,8896.8
광주,2016.0,4.0,85㎡~102㎡,9088.199999999999
광주,2016.0,4.0,102㎡~,11609.4
대전,2016.0,4.0,모든면적,8081.7
대전,2016.0,4.0,60㎡,8345.699999999999
대전,2016.0,4.0,60㎡~85㎡,8002.5
울산,2016.0,4.0,모든면적,10137.599999999999
울산,2016.0,4.0,60㎡,8533.8
울산,2016.0,4.0,60㎡~85㎡,10150.8
울산,2016.0,4.0,85㎡~102㎡,8787.9
울산,2016.0,4.0,102㎡~,9791.1
세종,2016.0,4.0,모든면적,8844.0
세종,2016.0,4.0,60㎡,8764.8
세종,2016.0,4.0,60㎡~85㎡,8906.699999999999
세종,2016.0,4.0,85㎡~102㎡,8758.199999999999
세종,2016.0,4.0,102㎡~,8956.199999999999
강원,2016.0,4.0,모든면적,7062.0
강원,2016.0,4.0,60㎡,7071.9
강원,2016.0,4.0,60㎡~85㎡,7203.9
강원,2016.0,4.0,102㎡~,7755.0
충북,2016.0,4.0,모든면적,6494.4
충북,2016.0,4.0,60㎡,6319.5
충북,2016.0,4.0,60㎡~85㎡,6633.0
충북,2016.0,4.0,85㎡~102㎡,7510.799999999999
충북,2016.0,4.0,102㎡~,7461.299999999999
충남,2016.0,4.0,모든면적,7157.7
충남,2016.0,4.0,60㎡,7573.5
충남,2016.0,4.0,60㎡~85㎡,7128.0
충남,2016.0,4.0,85㎡~102㎡,8385.3
충남,2016.0,4.0,102㎡~,8705.4
전북,2016.0,4.0,모든면적,6299.7
전북,2016.0,4.0,60㎡,6270.0
전북,2016.0,4.0,60㎡~85㎡,6322.799999999999
전북,2016.0,4.0,85㎡~102㎡,7487.7
전북,2016.0,4.0,102㎡~,7854.0
전남,2016.0,4.0,모든면적,6352.5
전남,2016.0,4.0,60㎡,6563.7
